                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 0.8919,                0.60037,                 1.1434,                0.82592,                 0.7033,                0.77942,                 0.3993,                 1.7988,                 1.0615,                 1.9936,               0.001633,               0.001633,               0.001633
                     87,                0.89272,                0.59326,                 1.1319,                0.81305,                0.64835,                0.76733,                 0.4023,                 1.8329,                 1.0671,                 2.0259,              0.0016249,              0.0016249,              0.0016249
                     88,                0.89235,                0.59636,                 1.1389,                0.75272,                 0.7033,                0.75563,                0.39143,                 1.7518,                 1.1724,                 1.9415,              0.0016168,              0.0016168,              0.0016168
                     89,                0.86855,                0.57086,                 1.1218,                0.81042,                0.65934,                0.75463,                0.40819,                 1.7615,                 1.1638,                 1.9243,              0.0016086,              0.0016086,              0.0016086
                     90,                0.85791,                0.58207,                 1.1059,                0.79042,                0.63736,                0.72751,                0.37431,                 1.8676,                  1.209,                 2.0796,              0.0016003,              0.0016003,              0.0016003
                     91,                0.87976,                0.58362,                 1.1241,                 0.7818,                0.66934,                0.72424,                0.38168,                 1.7947,                 1.2149,                  1.995,              0.0015919,              0.0015919,              0.0015919
                     92,                0.85147,                0.55322,                  1.108,                 0.8898,                0.65934,                0.80138,                0.40986,                 1.7859,                0.99582,                 2.0199,              0.0015835,              0.0015835,              0.0015835
                     93,                0.84994,                0.56037,                 1.1106,                0.79325,                0.71677,                0.76285,                0.37947,                 1.8285,                 1.2236,                 2.0528,               0.001575,               0.001575,               0.001575
                     94,                0.86181,                0.56807,                 1.1175,                 0.8191,                0.66484,                0.74243,                0.39234,                 1.8168,                 1.1596,                 2.0318,              0.0015665,              0.0015665,              0.0015665
                     95,                0.83996,                0.54891,                 1.1066,                0.79523,                 0.7033,                0.75781,                0.40817,                 1.7773,                 1.1798,                 1.9833,              0.0015579,              0.0015579,              0.0015579
                     96,                0.83494,                 0.5571,                 1.1017,                0.75536,                0.65385,                0.72052,                0.38289,                 1.7819,                 1.2278,                 2.0091,              0.0015492,              0.0015492,              0.0015492
                     97,                0.83815,                0.55443,                 1.0988,                0.77985,                0.72527,                 0.7631,                0.37951,                 1.8115,                 1.1716,                 1.9829,              0.0015405,              0.0015405,              0.0015405
                     98,                0.84734,                0.56939,                 1.1042,                0.75373,                0.73077,                0.75754,                0.39406,                 1.8381,                 1.1358,                  2.051,              0.0015317,              0.0015317,              0.0015317
                     99,                0.84501,                0.55337,                 1.1083,                0.75618,                0.74725,                0.76812,                 0.3771,                 1.8186,                 1.2018,                 2.0095,              0.0015228,              0.0015228,              0.0015228
                    100,                0.84149,                0.55668,                 1.1099,                 0.7751,                 0.6817,                0.75016,                0.38199,                  1.812,                 1.1038,                 2.0187,               0.001514,               0.001514,               0.001514
                    101,                0.83518,                0.54889,                 1.0957,                0.79989,                0.65385,                0.71638,                0.37307,                 1.7959,                 1.2534,                 1.9858,               0.001505,               0.001505,               0.001505
                    102,                0.83808,                0.55373,                 1.0997,                0.78963,                0.75275,                0.76682,                0.38884,                 1.7779,                 1.0668,                 2.0455,               0.001496,               0.001496,               0.001496
                    103,                0.84999,                0.55219,                 1.1115,                 0.7707,                0.68132,                0.71019,                0.35596,                 1.8666,                 1.2168,                 2.1098,              0.0014869,              0.0014869,              0.0014869
                    104,                0.83468,                0.53113,                 1.0982,                 0.8104,                0.68132,                 0.7323,                0.38926,                 1.7653,                 1.1678,                 1.9952,              0.0014778,              0.0014778,              0.0014778
                    105,                 0.8292,                0.52849,                 1.0925,                0.82845,                0.64286,                0.73372,                0.36187,                 1.8061,                 1.1905,                 1.9771,              0.0014687,              0.0014687,              0.0014687
                    106,                0.79199,                0.52168,                 1.0814,                0.78214,                0.68681,                  0.775,                0.39973,                 1.7854,                 1.2148,                 2.0055,              0.0014595,              0.0014595,              0.0014595
                    107,                0.80891,                 0.5412,                 1.0797,                0.76314,                 0.6978,                0.75646,                0.40669,                 1.7996,                 1.1241,                 2.0106,              0.0014502,              0.0014502,              0.0014502
                    108,                0.82136,                0.54057,                 1.0901,                0.85195,                0.65385,                0.76698,                0.39158,                  1.784,                 1.1866,                 2.0222,              0.0014409,              0.0014409,              0.0014409
                    109,                0.79925,                0.52003,                 1.0768,                0.76221,                0.68686,                 0.7391,                0.39937,                 1.7419,                 1.1553,                 1.9467,              0.0014315,              0.0014315,              0.0014315
                    110,                0.80247,                0.52984,                 1.0841,                0.74871,                0.67582,                0.74868,                0.39325,                 1.7814,                 1.1823,                 1.9747,              0.0014221,              0.0014221,              0.0014221
                    111,                0.83203,                0.54403,                 1.1022,                0.80621,                0.66484,                0.74644,                0.37634,                 1.7838,                 1.2539,                 1.9995,              0.0014127,              0.0014127,              0.0014127
                    112,                0.78843,                0.51863,                 1.0769,                0.82231,                0.68655,                0.76065,                0.39372,                 1.8025,                 1.1261,                 2.0299,              0.0014032,              0.0014032,              0.0014032
                    113,                0.77964,                0.51139,                 1.0646,                0.79287,                0.73626,                0.78024,                0.40036,                 1.7604,                 1.0204,                 1.9982,              0.0013936,              0.0013936,              0.0013936
                    114,                0.78666,                0.49273,                 1.0643,                0.82036,                0.71429,                0.78353,                 0.3957,                  1.779,                 1.2339,                 2.0118,              0.0013841,              0.0013841,              0.0013841
                    115,                0.79004,                0.50886,                 1.0774,                0.85776,                0.66267,                0.79095,                0.40645,                 1.7648,                 1.1802,                 1.9301,              0.0013744,              0.0013744,              0.0013744
